state;stateName;pollster;startDate;endDate;numberOfObservations;biden;trump;other
NC;North Carolina;Change Research;5/29/2020;5/31/2020;806;46;45;
NC;North Carolina;Harper Polling;5/26/2020;5/28/2020;500;44;47;
NC;North Carolina;Meeting Street Insights;5/9/2020;5/13/2020;500;47;47;
NC;North Carolina;Redfield & Wilton Strategies;5/10/2020;5/14/2020;859;45;43;
NC;North Carolina;East Carolina University;5/7/2020;5/9/2020;1111;43;46;
NC;North Carolina;Civiqs;5/2/2020;5/4/2020;1362;49;48;
NC;North Carolina;Garin-Hart-Yang Research Group;4/13/2020;4/18/2020;800;48;45;
NC;North Carolina;SurveyUSA;4/23/2020;4/26/2020;580;50;45;
NC;North Carolina;Public Policy Polling;4/20/2020;4/21/2020;1275;49;46;
NC;North Carolina;Public Policy Polling;4/14/2020;4/15/2020;1318;48;47;
NC;North Carolina;Harper Polling;4/5/2020;4/7/2020;500;42;49;
NC;North Carolina;Climate Nexus;2/15/2020;2/19/2020;675;46;44;
NC;North Carolina;East Carolina University;2/27/2020;2/28/2020;1288;48;46;
NC;North Carolina;Marist College;2/23/2020;2/27/2020;2120;49;45;
NC;North Carolina;SurveyUSA;2/13/2020;2/16/2020;2366;49;45;
ND;North Dakota;DFM Research;9/12/2020;9/16/2020;500;37;56;
ND;North Dakota;DFM Research;3/3/2020;3/6/2020;400;38;55;
NH;New Hampshire;University of New Hampshire;10/24/2020;10/28/2020;864;53;45;1
NH;New Hampshire;YouGov;10/20/2020;10/26/2020;757;53;43;2
NH;New Hampshire;Suffolk University;10/8/2020;10/12/2020;500;51;41;2
NH;New Hampshire;University of New Hampshire;10/9/2020;10/12/2020;699;55;43;
NH;New Hampshire;Saint Anselm College;10/1/2020;10/4/2020;1147;53;41;
NH;New Hampshire;University of New Hampshire;9/24/2020;9/26/2020;972;53;44;
NH;New Hampshire;YouGov;9/18/2020;9/25/2020;657;52;44;3
NH;New Hampshire;NYT/Siena College;9/8/2020;9/10/2020;445;45;42;4
NH;New Hampshire;Saint Anselm College;8/15/2020;8/17/2020;1042;51;43;
NH;New Hampshire;University of New Hampshire;7/16/2020;7/28/2020;1893;53;40;
NH;New Hampshire;University of New Hampshire;6/18/2020;6/22/2020;936;52;39;
NH;New Hampshire;University of New Hampshire;5/14/2020;5/18/2020;790;44;46;
NH;New Hampshire;Saint Anselm College;6/13/2020;6/16/2020;1072;49;42;
NH;New Hampshire;Saint Anselm College;4/23/2020;4/27/2020;820;50;42;7
NH;New Hampshire;University of New Hampshire;2/19/2020;2/25/2020;576;44;46;
NH;New Hampshire;AtlasIntel;2/8/2020;2/10/2020;1100;44;46;
NJ;New Jersey;Research Co.;10/31/2020;11/1/2020;450;56;38;
NJ;New Jersey;Rutgers University;10/18/2020;10/24/2020;872;61;37;
NJ;New Jersey;DKC Analytics;10/5/2020;10/13/2020;500;56;34;
NJ;New Jersey;Stockton University;10/7/2020;10/13/2020;721;56;36;
NJ;New Jersey;Fairleigh Dickinson University;9/30/2020;10/5/2020;582;53;38;
NJ;New Jersey;DKC Analytics;8/5/2020;8/13/2020;500;52;33;
NJ;New Jersey;DKC Analytics;7/7/2020;7/12/2020;500;51;33;
NJ;New Jersey;Rutgers University;4/22/2020;5/2/2020;1364;56;33;6
NJ;New Jersey;Quinnipiac University;4/30/2020;5/4/2020;941;54;35;2
NJ;New Jersey;Monmouth University;4/16/2020;4/19/2020;635;54;38;2
NJ;New Jersey;Fairleigh Dickinson University (PublicMind);2/12/2020;2/16/2020;790;52;34;
NM;New Mexico;Research & Polling Inc.;10/23/2020;10/29/2020;1180;54;42;
NM;New Mexico;GBAO;10/14/2020;10/17/2020;600;54;41;
NM;New Mexico;Public Policy Polling;9/30/2020;10/1/2020;887;53;39;
NM;New Mexico;Research & Polling Inc.;8/26/2020;9/2/2020;1123;54;39;
NM;New Mexico;Public Policy Polling;6/12/2020;6/13/2020;740;53;39;
NM;New Mexico;Public Policy Polling;4/20/2020;4/21/2020;1009;52;40;
NV;Nevada;Data for Progress;10/21/2020;11/1/2020;1442;51;44;3
NV;Nevada;Gravis Marketing;10/27/2020;10/28/2020;688;50;44;
NV;Nevada;NYT/Siena College;10/23/2020;10/26/2020;809;49;43;3
NV;Nevada;University of Nevada, Las Vegas Lee Business School ;10/16/2020;10/23/2020;802;50;41;
NV;Nevada;Civiqs;10/17/2020;10/20/2020;712;52;43;
NV;Nevada;WPA Intelligence;10/7/2020;10/11/2020;512;44;42;4
NV;Nevada;YouGov;10/6/2020;10/9/2020;1036;52;46;
NV;Nevada;NYT/Siena College;10/2/2020;10/6/2020;660;48;42;3
NV;Nevada;University of Nevada, Las Vegas Lee Business School ;9/10/2020;9/25/2020;641;46;41;
NV;Nevada;ALG Research;9/15/2020;9/21/2020;800;47;43;
NV;Nevada;Fox News/Beacon Research/Shaw & Co. Research;9/20/2020;9/23/2020;810;52;41;
NV;Nevada;NYT/Siena College;9/8/2020;9/10/2020;462;46;42;3
NV;Nevada;University of Nevada, Las Vegas Lee Business School ;8/20/2020;8/30/2020;682;44;39;
NV;Nevada;ALG Research;4/27/2020;4/30/2020;763;49;45;
NV;Nevada;AtlasIntel;2/19/2020;2/21/2020;1100;44;41;
NY;New York;Research Co.;10/31/2020;11/1/2020;450;61;33;
NY;New York;Siena College;9/27/2020;9/29/2020;504;51;29;3
NY;New York;Public Policy Polling;8/21/2020;8/22/2020;1029;63;32;
NY;New York;Siena College;6/23/2020;6/25/2020;806;57;32;
NY;New York;Sinea College;5/17/2020;5/21/2020;796;57;32;
NY;New York;Quinnipiac University;4/30/2020;5/4/2020;915;55;32;3
NY;New York;Siena College;4/19/2020;4/23/2020;803;65;29;
NY;New York;Siena College;3/22/2020;3/26/2020;566;58;33;
NY;New York;Siena College;2/16/2020;2/20/2020;658;55;36;
OH;Ohio;Quinnipiac University;10/28/2020;11/1/2020;1440;47;43;
OH;Ohio;Research Co.;10/31/2020;11/1/2020;450;47;47;
OH;Ohio;Morning Consult;10/22/2020;10/31/2020;2179;47;49;
OH;Ohio;Civiqs;10/29/2020;11/1/2020;1136;48;49;
OH;Ohio;Quinnipiac University;10/23/2020;10/27/2020;1186;48;43;
OH;Ohio;Gravis Marketing;10/27/2020;10/28/2020;613;47;49;
OH;Ohio;Morning Consult;10/11/2020;10/20/2020;2271;47;49;
OH;Ohio;Fox News/Beacon Research/Shaw & Co. Research;10/17/2020;10/20/2020;1018;45;48;
OH;Ohio;Civiqs;10/8/2020;10/11/2020;586;47;50;
OH;Ohio;Quinnipiac University;10/8/2020;10/12/2020;1160;48;47;
OH;Ohio;Morning Consult;10/2/2020;10/11/2020;2283;46;49;
OH;Ohio;Baldwin Wallace University;9/30/2020;10/8/2020;1009;45;47;1
OH;Ohio;NYT/Siena College;10/2/2020;10/6/2020;661;45;44;3
OH;Ohio;YouGov;9/30/2020;10/2/2020;1114;47;47;
OH;Ohio;Hart Research Associates;9/24/2020;9/27/2020;400;47;49;
OH;Ohio;ALG Research;8/26/2020;9/1/2020;500;48;46;
OH;Ohio;Fox News/Beacon Research/Shaw & Co. Research;9/20/2020;9/23/2020;830;50;45;
OH;Ohio;Quinnipiac University;9/17/2020;9/21/2020;1085;48;47;
OH;Ohio;Baldwin Wallace University;9/8/2020;9/22/2020;1011;45;44;2
OH;Ohio;Civiqs;9/11/2020;9/15/2020;556;45;48;
OH;Ohio;Morning Consult;8/29/2020;9/7/2020;1963;45;50;
OH;Ohio;Morning Consult;8/21/2020;8/30/2020;700;45;50;
OH;Ohio;Morning Consult;8/7/2020;8/16/2020;700;45;49;
OH;Ohio;TargetSmart;7/28/2020;8/3/2020;1249;47;46;
OH;Ohio;Civiqs;8/13/2020;8/17/2020;631;47;47;4
OH;Ohio;University of Akron;6/25/2020;7/15/2020;1037;46;42;
OH;Ohio;Morning Consult;7/17/2020;7/26/2020;1741;45;48;
OH;Ohio;YouGov;7/21/2020;7/24/2020;1211;45;46;
OH;Ohio;Quinnipiac University;6/18/2020;6/22/2020;1139;46;45;
OH;Ohio;Fox News/Beacon Research/Shaw & Co. Research;5/30/2020;6/2/2020;803;45;43;
OH;Ohio;Baldwin Wallace University;4/20/2020;4/25/2020;797;45;44;
OH;Ohio;Baldwin Wallace University;3/17/2020;3/25/2020;1025;43;47;
OH;Ohio;Marist College;3/10/2020;3/13/2020;1710;49;45;
OK;Oklahoma;SoonerPoll;10/15/2020;10/20/2020;5466;37;59;2
OK;Oklahoma;SoonerPoll;9/2/2020;9/8/2020;486;35;60;1
OK;Oklahoma;DFM Research;7/29/2020;7/30/2020;572;36;56;
OK;Oklahoma;Amber Integrated;6/3/2020;6/4/2020;500;36;55;
OK;Oklahoma;Amber Integrated;3/5/2020;3/8/2020;500;33;57;
OK;Oklahoma;Cole Hargrave Snodgrass & Associates;2/10/2020;2/13/2020;500;33;57;
OR;Oregon;Civiqs;9/26/2020;9/29/2020;944;56;39;
OR;Oregon;DHM Research;9/3/2020;9/8/2020;502;51;39;
PA;Pennsylvania;Change Research;10/29/2020;11/1/2020;699;50;46;
PA;Pennsylvania;Redfield & Wilton Strategies;10/26/2020;10/29/2020;2125;50;45;1
PA;Pennsylvania;Data for Progress;10/21/2020;11/1/2020;1417;52;45;2
PA;Pennsylvania;AYTM;10/30/2020;11/1/2020;240;51;49;3
PA;Pennsylvania;Marist College;10/29/2020;11/1/2020;772;51;46;
PA;Pennsylvania;Research Co.;10/31/2020;11/1/2020;450;50;44;
PA;Pennsylvania;Morning Consult;10/22/2020;10/31/2020;2686;52;43;
PA;Pennsylvania;Monmouth University;10/28/2020;11/1/2020;502;51;45;
PA;Pennsylvania;Targoz Market Research;10/25/2020;10/30/2020;998;56;42;
PA;Pennsylvania;CES;9/29/2020;10/27/2020;2703;52;44;
PA;Pennsylvania;Ipsos;10/27/2020;11/1/2020;673;51;45;2
PA;Pennsylvania;NYT/Siena College;10/26/2020;10/31/2020;1862;49;43;2
PA;Pennsylvania;ABC News/Washington Post;10/24/2020;10/29/2020;810;51;44;3
PA;Pennsylvania;Muhlenberg College;10/23/2020;10/28/2020;419;49;44;
PA;Pennsylvania;Public Policy Polling;10/28/2020;10/29/2020;1012;52;45;
PA;Pennsylvania;Quinnipiac University;10/23/2020;10/27/2020;1324;51;44;
PA;Pennsylvania;Franklin & Marshall College;10/19/2020;10/25/2020;558;50;44;
PA;Pennsylvania;RMG Research;10/25/2020;10/27/2020;800;51;45;
PA;Pennsylvania;Latino Decisions;10/17/2020;10/25/2020;723;50;45;
PA;Pennsylvania;Civiqs;10/23/2020;10/26/2020;1145;52;45;
PA;Pennsylvania;Ipsos;10/20/2020;10/26/2020;655;51;44;3
PA;Pennsylvania;YouGov;10/13/2020;10/21/2020;669;52;44;
PA;Pennsylvania;Gravis Marketing;10/23/2020;10/23/2020;602;51;44;
PA;Pennsylvania;Muhlenberg College;10/13/2020;10/20/2020;416;51;44;
PA;Pennsylvania;Public Policy Polling;10/21/2020;10/22/2020;890;51;46;
PA;Pennsylvania;Civiqs;10/17/2020;10/21/2020;1577;52;46;
PA;Pennsylvania;Morning Consult;10/11/2020;10/20/2020;2563;52;43;
PA;Pennsylvania;Fox News/Beacon Research/Shaw & Co. Research;10/17/2020;10/20/2020;1045;50;45;
PA;Pennsylvania;SSRS;10/15/2020;10/20/2020;843;53;43;2
PA;Pennsylvania;Quinnipiac University;10/16/2020;10/19/2020;1241;51;43;
PA;Pennsylvania;Suffolk University;10/15/2020;10/19/2020;500;49;42;1
PA;Pennsylvania;Change Research;10/16/2020;10/19/2020;400;49;47;
PA;Pennsylvania;Ipsos;10/13/2020;10/19/2020;643;49;45;
PA;Pennsylvania;Civiqs;10/8/2020;10/11/2020;600;52;45;
PA;Pennsylvania;RMG Research;10/7/2020;10/12/2020;800;49;43;1
PA;Pennsylvania;Morning Consult;10/2/2020;10/11/2020;2610;52;44;
PA;Pennsylvania;Ipsos;10/6/2020;10/11/2020;622;51;44;
PA;Pennsylvania;Whitman Insight Strategies;10/5/2020;10/9/2020;517;51;46;
PA;Pennsylvania;Baldwin Wallace University;9/30/2020;10/8/2020;1140;50;45;1
PA;Pennsylvania;Redfield & Wilton Strategies;10/4/2020;10/6/2020;927;49;42;
PA;Pennsylvania;Quinnipiac University;10/1/2020;10/5/2020;1211;54;41;
PA;Pennsylvania;Ipsos;9/29/2020;10/5/2020;605;50;45;
PA;Pennsylvania;Change Research;10/2/2020;10/4/2020;586;50;46;
PA;Pennsylvania;Monmouth University;9/30/2020;10/4/2020;500;54;44;
PA;Pennsylvania;YouGov;9/30/2020;10/2/2020;1187;51;44;
PA;Pennsylvania;NYT/Siena College;9/30/2020;10/1/2020;706;49;42;3
PA;Pennsylvania;Redfield & Wilton Strategies;9/23/2020;9/25/2020;1015;50;44;
PA;Pennsylvania;ALG Research;8/26/2020;9/1/2020;500;50;44;
PA;Pennsylvania;ABC News/Washington Post;9/21/2020;9/26/2020;567;54;45;
PA;Pennsylvania;NYT/Siena College;9/25/2020;9/27/2020;711;49;40;11
PA;Pennsylvania;Hart Research Associates;9/17/2020;9/19/2020;400;53;42;
PA;Pennsylvania;Fox News/Beacon Research/Shaw & Co. Research;9/20/2020;9/23/2020;856;51;44;
PA;Pennsylvania;YouGov;9/10/2020;9/21/2020;642;49;45;
PA;Pennsylvania;CPEC;9/15/2020;9/17/2020;820;50;45;
PA;Pennsylvania;Franklin & Marshall College;9/14/2020;9/20/2020;480;48;42;
PA;Pennsylvania;Baldwin Wallace University;9/8/2020;9/22/2020;1012;47;45;2
PA;Pennsylvania;Change Research;9/18/2020;9/20/2020;579;49;45;
PA;Pennsylvania;Ipsos;9/11/2020;9/16/2020;611;49;46;
PA;Pennsylvania;Climate Nexus;9/8/2020;9/11/2020;659;48;43;
PA;Pennsylvania;Redfield & Wilton Strategies;9/12/2020;9/16/2020;1036;49;44;2
PA;Pennsylvania;Civiqs;9/11/2020;9/15/2020;549;52;45;
PA;Pennsylvania;TargetSmart;9/3/2020;9/6/2020;853;51;44;
PA;Pennsylvania;Benenson Strategy Group/GS Strategy Group;8/28/2020;9/8/2020;1600;49;46;
PA;Pennsylvania;Marist College;8/31/2020;9/7/2020;771;53;44;
PA;Pennsylvania;Morning Consult;8/29/2020;9/7/2020;2277;50;45;
PA;Pennsylvania;Change Research;9/4/2020;9/6/2020;829;50;46;
PA;Pennsylvania;Redfield & Wilton Strategies;8/21/2020;9/3/2020;1053;48;43;2
PA;Pennsylvania;Hodas & Associates;8/26/2020;8/31/2020;600;51;45;
PA;Pennsylvania;Quinnipiac University;8/28/2020;9/1/2020;1107;52;44;
PA;Pennsylvania;Monmouth University;8/28/2020;8/31/2020;400;49;46;
PA;Pennsylvania;Morning Consult;8/21/2020;8/30/2020;700;49;45;
PA;Pennsylvania;Morning Consult;8/7/2020;8/16/2020;700;50;44;
PA;Pennsylvania;Global Strategy Group;8/13/2020;8/19/2020;801;50;42;2
PA;Pennsylvania;GQR Research;8/20/2020;8/24/2020;971;52;43;
PA;Pennsylvania;Franklin & Marshall College;8/17/2020;8/23/2020;681;49;42;
PA;Pennsylvania;Change Research;8/21/2020;8/23/2020;984;49;46;
PA;Pennsylvania;Redfield & Wilton Strategies;8/16/2020;8/17/2020;1006;48;41;
PA;Pennsylvania;Civiqs;8/13/2020;8/17/2020;617;51;44;3
PA;Pennsylvania;Muhlenberg College;8/11/2020;8/17/2020;416;49;45;
PA;Pennsylvania;Change Research;8/7/2020;8/9/2020;456;48;44;
PA;Pennsylvania;YouGov;7/27/2020;8/6/2020;742;50;41;
PA;Pennsylvania;YouGov;8/4/2020;8/7/2020;1211;49;43;
PA;Pennsylvania;Hodas & Associates;7/17/2020;7/22/2020;600;51;45;
PA;Pennsylvania;Redfield & Wilton Strategies;7/19/2020;7/24/2020;1016;48;41;2
PA;Pennsylvania;Franklin & Marshall College;7/20/2020;7/26/2020;667;50;41;
PA;Pennsylvania;Change Research;7/24/2020;7/26/2020;382;48;46;
PA;Pennsylvania;Morning Consult;7/17/2020;7/26/2020;2092;50;42;
PA;Pennsylvania;Gravis Marketing;7/22/2020;7/24/2020;1006;48;45;
PA;Pennsylvania;Fox News/Beacon Research/Shaw & Co. Research;7/17/2020;7/20/2020;793;50;39;
PA;Pennsylvania;Monmouth University;7/9/2020;7/13/2020;401;52;43;3
PA;Pennsylvania;Change Research;7/10/2020;7/12/2020;743;50;42;
PA;Pennsylvania;Change Research;6/26/2020;6/28/2020;400;50;44;
PA;Pennsylvania;Redfield & Wilton Strategies;6/14/2020;6/16/2020;985;49;39;
PA;Pennsylvania;Hodas & Associates;6/8/2020;6/11/2020;600;54;42;
PA;Pennsylvania;NYT/Siena College;6/8/2020;6/16/2020;651;50;40;
PA;Pennsylvania;Change Research;6/12/2020;6/14/2020;400;49;46;
PA;Pennsylvania;Change Research;5/29/2020;5/31/2020;579;46;50;
PA;Pennsylvania;Redfield & Wilton Strategies;5/10/2020;5/14/2020;963;48;39;
PA;Pennsylvania;Hodas & Associates;5/9/2020;5/13/2020;600;46;50;
PA;Pennsylvania;Harper Polling;4/21/2020;4/26/2020;644;49;43;
PA;Pennsylvania;Hodas & Associates;4/16/2020;4/18/2020;600;47;47;
PA;Pennsylvania;Public Policy Polling;4/20/2020;4/21/2020;1251;51;44;
PA;Pennsylvania;Ipsos;4/15/2020;4/20/2020;578;46;40;
PA;Pennsylvania;Fox News/Beacon Research/Shaw & Co. Research;4/18/2020;4/21/2020;803;50;42;2
PA;Pennsylvania;Hodas & Associates;3/19/2020;3/21/2020;600;45;47;
PA;Pennsylvania;Baldwin Wallace University;3/17/2020;3/25/2020;973;45;47;
PA;Pennsylvania;YouGov;3/6/2020;3/8/2020;725;46;40;
PA;Pennsylvania;Optimus;3/5/2020;3/7/2020;533;44;45;
PA;Pennsylvania;Expedition Strategies;2/6/2020;2/18/2020;500;47;42;
PA;Pennsylvania;Muhlenberg College;2/12/2020;2/20/2020;424;47;47;
PA;Pennsylvania;YouGov;2/11/2020;2/20/2020;1171;46;45;
PA;Pennsylvania;Quinnipiac University;2/12/2020;2/18/2020;849;50;42;
SC;South Carolina;Data for Progress;10/21/2020;11/1/2020;880;44;53;2
SC;South Carolina;Morning Consult;10/22/2020;10/31/2020;904;45;51;
SC;South Carolina;East Carolina University;10/24/2020;10/25/2020;763;44;52;
SC;South Carolina;Data for Progress;10/22/2020;10/27/2020;1196;44;50;1
SC;South Carolina;Morning Consult;10/11/2020;10/20/2020;926;45;51;
SC;South Carolina;NYT/Siena College;10/9/2020;10/15/2020;605;41;49;3
SC;South Carolina;Data for Progress;10/8/2020;10/11/2020;801;43;52;
SC;South Carolina;Morning Consult;10/2/2020;10/11/2020;903;42;54;
SC;South Carolina;GBAO;9/24/2020;9/28/2020;800;44;49;
SC;South Carolina;Data for Progress;9/24/2020;9/28/2020;824;43;47;2
SC;South Carolina;Quinnipiac University;9/23/2020;9/27/2020;1123;47;48;
SC;South Carolina;YouGov;9/22/2020;9/25/2020;1080;42;52;
SC;South Carolina;Morning Consult;9/11/2020;9/20/2020;764;44;50;
SC;South Carolina;Quinnipiac University;9/10/2020;9/14/2020;969;45;51;
SC;South Carolina;Quinnipiac University;7/30/2020;8/3/2020;914;42;47;
SC;South Carolina;Morning Consult;7/24/2020;8/2/2020;741;44;49;
SC;South Carolina;Gravis Marketing;7/17/2020;7/17/2020;604;46;50;
SC;South Carolina;Civiqs;5/23/2020;5/26/2020;591;42;52;5
SC;South Carolina;AtlasIntel;2/25/2020;2/28/2020;1100;42;48;
SD;South Dakota;Mason-Dixon Polling & Strategy;10/19/2020;10/21/2020;625;40;51;
TN;Tennessee;SSRS;5/2/2020;5/22/2020;1000;42;51;
TN;Tennessee;East Tennessee State University;4/22/2020;5/1/2020;536;36;53;
TX;Texas;Morning Consult;10/22/2020;10/31/2020;3267;48;48;
TX;Texas;Data for Progress;10/27/2020;11/1/2020;926;49;48;2
TX;Texas;CES;9/29/2020;10/27/2020;2947;47;49;
TX;Texas;Gravis Marketing;10/27/2020;10/28/2020;600;45;50;
TX;Texas;Public Policy Polling;10/28/2020;10/29/2020;775;50;48;
TX;Texas;RMG Research;10/27/2020;10/28/2020;800;46;50;
TX;Texas;YouGov;10/20/2020;10/26/2020;873;47;48;3
TX;Texas;Latino Decisions;10/17/2020;10/25/2020;758;46;49;
TX;Texas;NYT/Siena College;10/20/2020;10/25/2020;802;43;47;
TX;Texas;Data for Progress;10/22/2020;10/25/2020;1018;49;48;1
TX;Texas;YouGov;10/13/2020;10/20/2020;1000;45;50;
TX;Texas;University of Texas at Tyler;10/13/2020;10/20/2020;925;48;45;3
TX;Texas;Morning Consult;10/11/2020;10/20/2020;3347;48;47;
TX;Texas;Quinnipiac University;10/16/2020;10/19/2020;1145;47;47;
TX;Texas;Data for Progress;10/15/2020;10/18/2020;9333;47;46;
TX;Texas;Morning Consult;10/2/2020;10/11/2020;3455;47;49;
TX;Texas;YouGov;9/25/2020;10/4/2020;908;45;50;4
TX;Texas;Public Policy Polling;10/7/2020;10/8/2020;612;50;49;
TX;Texas;Data for Progress;9/30/2020;10/5/2020;1949;47;45;3
TX;Texas;Civiqs;10/3/2020;10/6/2020;895;48;48;
TX;Texas;Hart Research Associates;9/24/2020;9/27/2020;400;47;49;
TX;Texas;YouGov;9/18/2020;9/25/2020;882;46;49;3
TX;Texas;Public Policy Polling;9/25/2020;9/26/2020;612;48;48;
TX;Texas;Data for Progress;9/15/2020;9/22/2020;726;45;46;
TX;Texas;Quinnipiac University;9/17/2020;9/21/2020;1078;45;50;
TX;Texas;NYT/Siena College;9/16/2020;9/22/2020;653;43;46;2
TX;Texas;The Tyson Group;8/20/2020;8/25/2020;906;48;44;
TX;Texas;YouGov;9/15/2020;9/18/2020;1140;46;48;
TX;Texas;Morning Consult;8/29/2020;9/7/2020;2829;46;46;
TX;Texas;Public Policy Polling;8/1/2020;8/2/2020;743;47;48;
TX;Texas;University of Texas at Tyler;8/28/2020;9/2/2020;901;49;48;2
TX;Texas;Data for Progress;8/20/2020;8/25/2020;2295;48;45;
TX;Texas;Morning Consult;8/21/2020;8/30/2020;700;47;48;
TX;Texas;Morning Consult;8/7/2020;8/16/2020;700;46;47;
TX;Texas;Public Policy Polling;8/21/2020;8/22/2020;764;48;47;
TX;Texas;Global Strategy Group;8/11/2020;8/13/2020;700;47;45;
TX;Texas;YouGov;8/4/2020;8/13/2020;846;41;48;2
TX;Texas;Morning Consult;7/24/2020;8/2/2020;2576;47;46;
TX;Texas;Morning Consult;7/17/2020;7/26/2020;2685;47;45;
TX;Texas;Quinnipiac University;7/16/2020;7/20/2020;880;45;44;
TX;Texas;YouGov;7/7/2020;7/10/2020;1185;45;46;
TX;Texas;University of Texas at Tyler;6/29/2020;7/7/2020;1677;48;43;
TX;Texas;YouGov;6/19/2020;6/29/2020;1200;44;48;
TX;Texas;Public Policy Polling;6/24/2020;6/25/2020;729;48;46;
TX;Texas;Fox News/Beacon Research/Shaw & Co. Research;6/20/2020;6/23/2020;1001;45;44;
TX;Texas;Public Policy Polling;6/18/2020;6/19/2020;907;46;48;
TX;Texas;Public Policy Polling;6/3/2020;6/4/2020;682;48;48;
TX;Texas;Quinnipiac University;5/29/2020;6/1/2020;1166;43;44;
TX;Texas;University of Texas at Tyler;4/18/2020;4/27/2020;1183;43;43;
TX;Texas;Public Policy Polling;4/27/2020;4/28/2020;1032;47;46;
TX;Texas;YouGov;4/10/2020;4/19/2020;1200;44;49;7
TX;Texas;AtlasIntel;2/24/2020;3/2/2020;1100;43;47;
TX;Texas;Marist College;2/23/2020;2/27/2020;2409;45;49;
TX;Texas;University of Texas at Tyler;2/17/2020;2/26/2020;1221;44;45;
TX;Texas;SSRS;2/22/2020;2/26/2020;1003;48;47;
TX;Texas;North Star Opinion Research;2/21/2020;2/26/2020;1004;43;46;
UT;Utah;Y2 Analytics B;10/15/2020;10/24/2020;660;44;51;
UT;Utah;RMG Research;10/12/2020;10/17/2020;1000;38;50;3
UT;Utah;Y2 Analytics B;9/26/2020;10/4/2020;1215;40;50;
UT;Utah;RMG Research;9/7/2020;9/12/2020;1000;35;53;5
UT;Utah;RMS Research;7/27/2020;8/1/2020;1000;31;50;4
UT;Utah;Y2 Analytics A;5/9/2020;5/15/2020;1078;41;44;8
UT;Utah;RMG Research;4/15/2020;4/21/2020;964;32;51;
UT;Utah;Y2 Analytics A;3/21/2020;3/30/2020;1266;41;46;
UT;Utah;RMG Research;2/24/2020;3/1/2020;1000;33;50;
VA;Virginia;Data for Progress;10/27/2020;11/1/2020;690;54;43;
VA;Virginia;Roanoke College;10/23/2020;10/29/2020;802;53;42;2
VA;Virginia;Virginia Commonwealth University;10/13/2020;10/22/2020;709;51;39;
VA;Virginia;Christopher Newport University;10/15/2020;10/27/2020;908;53;41;
VA;Virginia;George Mason University;10/13/2020;10/19/2020;908;52;41;3
VA;Virginia;Cygnal;10/9/2020;10/11/2020;607;51;42;
VA;Virginia;Cygnal;9/22/2020;9/25/2020;600;52;41;
VA;Virginia;Civiqs;10/11/2020;10/14/2020;1231;55;42;
VA;Virginia;Roanoke College;9/30/2020;10/12/2020;602;53;38;
VA;Virginia;Christopher Newport University;9/9/2020;9/21/2020;796;48;43;
VA;Virginia;Virginia Commonwealth University;8/28/2020;9/7/2020;693;53;39;
VA;Virginia;Roanoke College;8/9/2020;8/22/2020;566;53;39;
VA;Virginia;Virginia Commonwealth University;7/11/2020;7/18/2020;725;50;39;
VA;Virginia;Morning Consult;7/17/2020;7/26/2020;1156;52;41;
VA;Virginia;Roanoke College;5/3/2020;5/16/2020;563;51;39;
VA;Virginia;Virginia Commonwealth University;3/25/2020;4/8/2020;663;51;41;
VA;Virginia;Hampton University;2/25/2020;2/28/2020;768;45;38;
VA;Virginia;Roanoke College;2/9/2020;2/18/2020;520;48;40;
VT;Vermont;Braun Research;9/3/2020;9/15/2020;586;56;32;
WA;Washington;Public Policy Polling;10/14/2020;10/15/2020;610;60;37;
WA;Washington;SurveyUSA;10/8/2020;10/12/2020;591;55;34;
WA;Washington;Strategies 360;9/8/2020;9/14/2020;501;58;36;
WA;Washington;SurveyUSA;7/22/2020;7/27/2020;534;62;28;
WA;Washington;Public Policy Polling;5/19/2020;5/20/2020;1070;59;37;
WA;Washington;SurveyUSA;5/16/2020;5/19/2020;530;57;31;
WA;Washington;EMC Research;3/31/2020;4/6/2020;427;52;39;
WA;Washington;SurveyUSA;3/4/2020;3/6/2020;992;57;34;
WI;Wisconsin;Change Research;10/29/2020;11/1/2020;553;53;45;
WI;Wisconsin;Redfield & Wilton Strategies;10/26/2020;10/29/2020;800;53;41;2
WI;Wisconsin;Research Co.;10/31/2020;11/1/2020;450;50;42;
WI;Wisconsin;Morning Consult;10/22/2020;10/31/2020;1002;54;41;
WI;Wisconsin;AtlasIntel;10/30/2020;10/31/2020;781;51;49;
WI;Wisconsin;Civiqs;10/29/2020;11/1/2020;789;51;47;
WI;Wisconsin;Ipsos;10/27/2020;11/1/2020;969;53;43;2
WI;Wisconsin;NYT/Siena College;10/26/2020;10/30/2020;1253;52;41;3
WI;Wisconsin;SSRS;10/23/2020;10/30/2020;873;52;44;3
WI;Wisconsin;Marquette University Law School;10/21/2020;10/25/2020;749;48;43;
WI;Wisconsin;ABC News/Washington Post;10/20/2020;10/25/2020;809;57;40;
WI;Wisconsin;Ipsos;10/20/2020;10/26/2020;664;53;44;3
WI;Wisconsin;YouGov;10/13/2020;10/21/2020;647;53;44;
WI;Wisconsin;Gravis Marketing;10/23/2020;10/23/2020;677;54;43;
WI;Wisconsin;RMG Research;10/14/2020;10/20/2020;800;50;44;
WI;Wisconsin;Morning Consult;10/11/2020;10/20/2020;1038;54;42;
WI;Wisconsin;Fox News/Beacon Research/Shaw & Co. Research;10/17/2020;10/20/2020;1037;49;44;
